"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","goals_against_gk","pens_allowed","free_kick_goals_against_gk","corner_kick_goals_against_gk","own_goals_against_gk","psxg_gk","psnpxg_per_shot_on_target_against","psxg_net_gk","psxg_net_per90_gk","passes_completed_launched_gk","passes_launched_gk","passes_pct_launched_gk","passes_gk","passes_throws_gk","pct_passes_launched_gk","passes_length_avg_gk","goal_kicks","pct_goal_kicks_launched","goal_kick_length_avg","crosses_gk","crosses_stopped_gk","crosses_stopped_pct_gk","def_actions_outside_pen_area_gk","def_actions_outside_pen_area_per90_gk","avg_distance_def_actions_gk"
"04ac8285","2011-2012","NED","1. Dutch Eredivisie","1st","Ajax",22,1.7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2011-2012","NED","1. Dutch Eredivisie","8th","NEC Nijmegen",22,3,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2012-2013","NED","1. Dutch Eredivisie","1st","Ajax",23,4.5,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2013-2014","NED","1. Dutch Eredivisie","1st","Ajax",24,24.5,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2013-2014","NED","2. Eerste Divisie","14th","Jong Ajax",24,3,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2014-2015","NED","1. Dutch Eredivisie","2nd","Ajax",25,32,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2014-2015","NED","2. Eerste Divisie","12th","Jong Ajax",25,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2015-2016","NED","1. Dutch Eredivisie","2nd","Ajax",26,33,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2016-2017","NED","1. Dutch Eredivisie","2nd","Ajax",27,2,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2016-2017","ESP","1. La Liga","2nd","Barcelona",27,1,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"04ac8285","2017-2018","ESP","1. La Liga","1st","Barcelona",28,1,1,0,0,0,0,1.3,0.18,0.3,0.26,2,9,22.2,18,4,33.3,30.1,9,33.3,40.8,7,1,14.3,0,0,15
"04ac8285","2018-2019","ESP","1. La Liga","1st","Barcelona",29,3,4,1,0,0,0,4.2,0.25,0.2,0.06,14,24,58.3,90,15,18.9,27.5,25,28,32.1,32,1,3.1,6,2,18.3
"04ac8285","2019-2020","ESP","1. La Liga","9th","Valencia",30,23.3,30,6,2,3,1,28,0.22,-1,-0.04,140,413,33.9,553,133,48.5,39.4,206,70.4,56.3,264,21,8,12,0.52,12.8
"04ac8285","2020-2021","ESP","1. La Liga","13th","Valencia",31,10,11,1,1,0,0,12.1,0.23,1.1,0.11,71,198,35.9,222,41,59,45,95,70.5,54.2,123,8,6.5,8,0.8,13.4
"04ac8285","2021-2022","ESP","1. La Liga","8th","Valencia",32,12,19,2,0,4,1,21,0.37,3,0.25,88,209,42.1,259,46,57.9,46.5,79,74.7,57.8,93,5,5.4,5,0.42,15.4
"085e71a7","2013-2014","POL","1. Ekstraklasa","10th","Jagiellonia",15,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"085e71a7","2015-2016","POL","1. Ekstraklasa","11th","Jagiellonia",17,34,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"085e71a7","2016-2017","ITA","1. Serie A","8th","Fiorentina",18,1,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"085e71a7","2017-2018","ITA","1. Serie A","8th","Fiorentina",19,2.4,8,0,1,1,0,5.9,0.36,-2.1,-0.86,9,26,34.6,35,5,57.1,46.8,8,75,55.6,20,1,5,1,0.42,14.5
"085e71a7","2018-2019","ITA","1. Serie A","18th","Empoli",20,14,24,3,0,3,0,26.1,0.26,2.1,0.15,72,222,32.4,329,95,41.9,38.4,152,55.3,48,157,7,4.5,9,0.64,13.6
"085e71a7","2018-2019","ITA","1. Serie A","16th","Fiorentina",20,2.5,2,0,0,1,0,2.5,0.35,0.5,0.18,20,53,37.7,76,9,51.3,42.4,30,46.7,42.4,19,2,10.5,3,1.2,15.5
"085e71a7","2019-2020","ITA","1. Serie A","10th","Fiorentina",21,31,43,6,2,6,0,43.1,0.29,0.1,0,138,380,36.3,682,195,39.9,37,222,48.6,42.1,287,19,6.6,14,0.45,12.6
"085e71a7","2020-2021","ITA","1. Serie A","13th","Fiorentina",22,35,55,8,1,10,1,53.4,0.35,-0.6,-0.02,229,566,40.5,803,166,51.9,41.9,260,57.3,45.3,335,24,7.2,17,0.49,14.3
"085e71a7","2021-2022","ITA","1. Serie A","7th","Fiorentina",23,4.2,6,1,0,1,0,6.5,0.29,0.5,0.11,34,70,48.6,195,15,29.7,33.1,27,44.4,43.1,20,3,15,9,2.15,17.9
"08f5afaa","2015-2016","ITA","1. Serie A","7th","Milan",16,29.2,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"08f5afaa","2016-2017","ITA","1. Serie A","6th","Milan",17,38,45,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"08f5afaa","2017-2018","ITA","1. Serie A","6th","Milan",18,38,42,2,0,4,1,40.8,0.3,-0.2,-0.01,192,402,47.8,892,136,33,31.5,194,55.7,42.2,305,23,7.5,14,0.37,14.4
"08f5afaa","2018-2019","ITA","1. Serie A","5th","Milan",19,34.4,31,3,1,5,1,35,0.27,5,0.14,196,373,52.5,869,194,27.5,30.1,292,45.9,39.5,364,31,8.5,14,0.41,13.8
"08f5afaa","2019-2020","ITA","1. Serie A","6th","Milan",20,35.6,42,4,0,7,1,45.6,0.29,4.6,0.13,222,469,47.3,882,172,38.4,34.4,260,50,39,304,29,9.5,20,0.56,14.6
"08f5afaa","2020-2021","ITA","1. Serie A","2nd","Milan",21,37,38,2,2,7,1,39.7,0.3,2.7,0.07,183,431,42.5,1026,140,33.2,32.3,219,41.1,35.9,335,29,8.7,22,0.59,14.8
"08f5afaa","2021-2022","FRA","1. Ligue 1","1st","Paris S-G",22,8,6,0,0,1,0,7.4,0.31,1.4,0.17,16,32,50,178,56,13.5,23.5,48,16.7,22.1,45,3,6.7,13,1.63,17.4
"0acda699","2009-2010","ITA","1. Serie A","20th","Livorno",17,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2011-2012","ITA","2. Serie B","17th","Livorno",19,33.7,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2012-2013","ITA","2. Serie B","5th","Novara",20,35,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2013-2014","ITA","1. Serie A","20th","Livorno",21,35,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2014-2015","ITA","1. Serie A","14th","Chievo",22,10,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2015-2016","ITA","1. Serie A","19th","Frosinone",23,1.3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2016-2017","ITA","2. Serie B","3rd","Frosinone",24,39,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2017-2018","ITA","2. Serie B","3rd","Frosinone",25,24.5,27,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2018-2019","ITA","1. Serie A","19th","Frosinone",26,3,5,0,1,0,0,4.2,0.38,-0.8,-0.27,11,40,27.5,59,15,49.2,40.2,15,73.3,54.8,24,4,16.7,0,0,10.4
"0acda699","2019-2020","ITA","2. Serie B","8th","Frosinone",27,34.6,34,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0acda699","2020-2021","ITA","2. Serie B","10th","Frosinone",28,34,39,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d422df7","2012-2013","ITA","2. Serie B","11th","Padova",21,23,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d422df7","2013-2014","ITA","1. Serie A","15th","Cagliari",22,2.6,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d422df7","2014-2015","ENG","2. Championship","15th","Leeds United",23,43,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d422df7","2015-2016","ENG","2. Championship","13th","Leeds United",24,45,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d422df7","2017-2018","ITA","1. Serie A","19th","Hellas Verona",26,2,7,0,0,1,0,7.5,0.3,0.5,0.25,13,24,54.2,29,10,31,31.9,20,75,54,21,2,9.5,0,0,12.3
"0d422df7","2018-2019","ITA","2. Serie B","5th","Hellas Verona",27,35,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d422df7","2019-2020","ITA","1. Serie A","9th","Hellas Verona",28,35,43,7,1,7,1,42.4,0.25,0.4,0.01,193,718,26.9,661,78,66.3,48.1,330,84.8,59.2,366,17,4.6,9,0.26,12
"0d422df7","2020-2021","ITA","1. Serie A","10th","Hellas Verona",29,34,42,6,1,7,2,37.5,0.26,-2.5,-0.07,212,746,28.4,727,79,68.6,47,275,89.8,58.9,288,10,3.5,13,0.38,13.1
"0d422df7","2021-2022","ITA","1. Serie A","14th","Udinese",30,18,28,3,0,5,1,22.7,0.29,-4.3,-0.24,114,267,42.7,380,49,50.5,40.7,144,52.1,41.9,132,7,5.3,2,0.11,11.4
"0d55d942","2013-2014","GER","1. Bundesliga","14th","Freiburg",21,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d55d942","2014-2015","GER","3. 3. Liga","1st","Arminia",22,37,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d55d942","2015-2016","GER","2. 2. Bundesliga","1st","Freiburg",23,33,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d55d942","2016-2017","GER","1. Bundesliga","7th","Freiburg",24,34,60,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d55d942","2017-2018","GER","1. Bundesliga","15th","Freiburg",25,32.3,53,4,1,9,4,44.5,0.3,-4.5,-0.14,319,791,40.3,1022,116,52.4,42.7,288,88.5,66,326,19,5.8,30,0.93,18.2
"0d55d942","2018-2019","GER","1. Bundesliga","13th","Freiburg",26,33,60,7,0,12,0,54.6,0.3,-5.4,-0.16,288,708,40.7,941,136,47.4,41,327,80.1,64.1,343,16,4.7,19,0.58,13.7
"0d55d942","2019-2020","GER","1. Bundesliga","8th","Freiburg",27,23.2,32,3,0,5,0,31.2,0.26,-0.8,-0.03,179,477,37.5,730,115,40.5,38,249,72.7,58.3,214,14,6.5,10,0.43,13
"0d55d942","2020-2021","GER","1. Bundesliga","14th","Hertha BSC",28,26,39,6,1,3,0,36.9,0.31,-2.1,-0.08,174,359,48.5,699,123,33.6,34.3,219,56.6,46.3,228,14,6.1,12,0.46,13.7
"0d55d942","2021-2022","GER","1. Bundesliga","11th","Hertha BSC",29,17,35,3,1,6,0,30.4,0.37,-4.6,-0.27,113,278,40.6,454,89,37.9,35.7,147,72.1,53.2,186,9,4.8,10,0.59,13.4
"0d85a4e8","2012-2013","ENG","5. Conf Premier","8th","Dartford",20,35,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d85a4e8","2014-2015","ENG","2. Championship","17th","Fulham",22,38.2,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d85a4e8","2015-2016","ENG","2. Championship","20th","Fulham",23,10.5,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d85a4e8","2016-2017","ENG","2. Championship","6th","Fulham",24,6,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d85a4e8","2017-2018","ENG","2. Championship","3rd","Fulham",25,26,19,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d85a4e8","2018-2019","ENG","1. Premier League","19th","Fulham",26,7,20,1,0,1,0,17.8,0.43,-2.2,-0.31,68,147,46.3,178,33,51.7,42.1,67,82.1,57.6,71,6,8.5,5,0.71,13.9
"0d85a4e8","2019-2020","ENG","2. Championship","4th","Fulham",27,13.8,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d85a4e8","2020-2021","ENG","2. Championship","10th","Middlesbrough",28,41,45,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0d8a37c2","2007-2008","GER","2. 2. Bundesliga","13th","Kaiserslautern",19,24.7,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
