"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","cards_yellow","cards_red","cards_yellow_red","fouls","fouled","offsides","crosses","interceptions","tackles_won","pens_won","pens_conceded","own_goals","ball_recoveries","aerials_won","aerials_lost","aerials_won_pct"
"356c9002","2017-2018","ITA","1. Serie A","4th","Inter",30,28.2,4,0,0,20,33,17,170,17,13,0,0,0,153,1,7,12.5
"356c9002","2018-2019","ITA","1. Serie A","4th","Inter",31,5.6,0,0,0,8,9,4,39,4,0,0,0,0,35,0,2,0
"356c9002","2019-2020","ITA","1. Serie A","2nd","Inter",32,22.1,5,0,0,20,19,13,119,14,13,1,0,0,147,3,9,25
"356c9002","2020-2021","ITA","1. Serie A","9th","Sampdoria",33,27.8,1,0,0,17,32,10,153,25,14,1,0,0,207,2,15,11.8
"356c9002","2021-2022","ITA","1. Serie A","15th","Sampdoria",34,18.9,3,0,0,9,21,4,110,29,6,0,0,0,120,2,5,28.6
"3594a357","2019-2020","ESP","1. La Liga","6th","Real Sociedad",19,0.3,0,0,0,1,0,0,3,0,0,0,0,0,2,2,0,100
"3594a357","2020-2021","ESP","2. Segunda División","10th","CD Mirandés",20,14.3,2,0,0,14,12,1,34,7,11,NULL,NULL,0,NULL,NULL,NULL,NULL
"3594a357","2021-2022","ESP","2. Segunda División","21st","Real Sociedad B",21,9.7,0,0,0,7,8,0,70,6,10,NULL,NULL,0,NULL,NULL,NULL,NULL
"35a2557c","2016-2017","ITA","2. Serie B","9th","Novara",20,3.6,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35a2557c","2017-2018","ITA","2. Serie B","20th","Novara",21,26.2,6,0,0,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"35a2557c","2018-2019","ITA","2. Serie B","15th","Venezia",22,24.9,6,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"35a2557c","2019-2020","ITA","2. Serie B","19th","Juve Stabia",23,9.2,4,1,1,21,49,0,30,2,5,NULL,NULL,0,NULL,NULL,NULL,NULL
"35a2557c","2019-2020","ITA","2. Serie B","11th","Venezia",23,6.2,0,0,0,9,27,3,38,0,2,NULL,NULL,0,NULL,NULL,NULL,NULL
"35a2557c","2020-2021","ITA","2. Serie B","5th","Venezia",24,18.9,5,0,0,31,72,8,102,13,16,NULL,NULL,0,NULL,NULL,NULL,NULL
"35a2557c","2021-2022","ITA","2. Serie B","4th","Lecce",25,13.4,3,0,0,23,47,7,66,10,10,NULL,NULL,0,NULL,NULL,NULL,NULL
"35a2557c","2021-2022","ITA","1. Serie A","16th","Venezia",25,0.7,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0
"35a6e5c7","2020-2021","ESP","1. La Liga","8th","Celta Vigo",18,1.3,0,0,0,4,3,0,1,0,1,0,0,0,10,0,4,0
"35a6e5c7","2021-2022","ESP","1. La Liga","14th","Celta Vigo",19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NULL
"35b4bc62","2020-2021","ITA","1. Serie A","12th","Bologna",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
"35d4f151","2021-2022","ESP","1. La Liga","11th","Espanyol",20,0.2,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,100
"35d64857","2019-2020","BEL","1. First Division A","11th","Kortrijk",20,14,4,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"35d64857","2020-2021","GER","1. Bundesliga","5th","Eint Frankfurt",21,16.2,5,0,0,32,15,0,4,31,14,0,2,1,206,41,32,56.2
"35d64857","2021-2022","GER","1. Bundesliga","6th","Eint Frankfurt",22,8.7,3,1,1,13,6,0,0,22,12,0,0,0,91,21,11,65.6
"35dd6d80","2002-2003","ITA","2. Serie B","18th","Genoa",15,0.1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2006-2007","ITA","2. Serie B","3rd","Genoa",19,34.9,9,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2007-2008","ITA","1. Serie A","10th","Genoa",20,15.6,5,0,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2007-2008","ITA","1. Serie A","3rd","Juventus",20,7,3,0,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2008-2009","ITA","1. Serie A","5th","Genoa",21,34.3,8,0,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2009-2010","ITA","1. Serie A","9th","Genoa",22,26.9,8,1,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2010-2011","ITA","1. Serie A","10th","Genoa",23,35.6,6,1,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2011-2012","RUS","1. Premier League","1st","Zenit",24,22.2,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2012-2013","RUS","1. Premier League","2nd","Zenit",25,11.7,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2013-2014","RUS","1. Premier League","2nd","Zenit",26,17,6,0,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2014-2015","RUS","1. Premier League","1st","Zenit",27,23.9,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2015-2016","RUS","1. Premier League","3rd","Zenit",28,17,5,0,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35dd6d80","2016-2017","RUS","1. Premier League","3rd","Zenit",29,24.5,10,0,0,33,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"35dd6d80","2017-2018","RUS","1. Premier League","5th","Zenit",30,27.9,7,2,1,36,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"35dd6d80","2018-2019","ITA","1. Serie A","17th","Genoa",31,34.1,12,1,0,49,52,2,100,44,68,0,2,0,363,36,30,54.5
"35dd6d80","2019-2020","ITA","1. Serie A","17th","Genoa",32,22.8,7,0,0,34,43,0,47,38,44,0,1,0,201,28,16,63.6
"35dd6d80","2020-2021","ITA","1. Serie A","11th","Genoa",33,19.2,6,0,0,29,27,0,18,35,27,0,1,0,191,22,28,44
"35dd6d80","2021-2022","ITA","1. Serie A","18th","Genoa",34,14.4,3,0,0,17,26,0,21,35,17,0,0,0,173,24,10,70.6
"35e413f1","2017-2018","ENG","4. League Two","11th","Newport County",19,41.6,8,0,0,31,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"35e413f1","2018-2019","ENG","Jr. PL2 — Div. 1","3rd","Brighton",20,4.8,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"35e413f1","2019-2020","ENG","2. Championship","1st","Leeds United",21,46,6,0,0,41,41,1,4,115,48,NULL,NULL,0,NULL,NULL,NULL,NULL
"35e413f1","2020-2021","ENG","1. Premier League","16th","Brighton",22,35.5,5,1,1,39,14,1,19,45,33,0,0,0,302,52,46,53.1
"35e413f1","2021-2022","ENG","1. Premier League","4th","Arsenal",23,17,1,0,0,13,15,0,3,40,15,0,1,0,149,37,21,63.8
"35f67a30","2018-2019","GER","Jr. U17 Bundesliga","21st","Union U17",15,22.6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"35f67a30","2019-2020","GER","Jr. U19 Bundesliga","12th","Union U19",16,14.9,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"35f67a30","2021-2022","GER","1. Bundesliga","5th","Hoffenheim",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
"360d70f8","2008-2009","ESP","1. La Liga","19th","Numancia",17,0.7,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"360d70f8","2009-2010","ESP","2. Segunda División","8th","Numancia",18,10.3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"360d70f8","2011-2012","ESP","2. Segunda División","10th","Numancia",20,16.8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"360d70f8","2012-2013","ESP","2. Segunda División","12th","Numancia",21,5.7,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"360d70f8","2015-2016","ESP","2. Segunda División","17th","Mallorca",24,14.3,3,0,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"360d70f8","2015-2016","ESP","2. Segunda División","15th","Mirandés",24,20.3,0,0,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"360d70f8","2016-2017","ESP","2. Segunda División","20th","Mallorca",25,34.9,8,0,0,43,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"360d70f8","2018-2019","ESP","2. Segunda División","5th","Mallorca",27,39.5,4,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"360d70f8","2019-2020","ESP","1. La Liga","19th","Mallorca",28,24.3,3,0,0,39,52,10,58,13,19,0,3,0,149,42,48,46.7
"360d70f8","2020-2021","ESP","2. Segunda División","2nd","Mallorca",29,12.3,1,0,0,16,22,6,37,6,10,NULL,NULL,0,NULL,NULL,NULL,NULL
"360d70f8","2021-2022","ESP","1. La Liga","15th","Mallorca",30,2,0,0,0,6,7,0,4,3,3,0,0,0,9,8,9,47.1
"3624ce4c","2007-2008","ESP","2. Segunda División","9th","Sevilla B",19,9.2,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3624ce4c","2008-2009","ESP","2. Segunda División","22nd","Sevilla B",20,13.9,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3624ce4c","2012-2013","ESP","2. Segunda División","11th","Lugo",24,17.7,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3624ce4c","2013-2014","ESP","2. Segunda División","12th","Lugo",25,16.3,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3624ce4c","2014-2015","ESP","2. Segunda División","20th","Recreativo",26,35.8,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3624ce4c","2015-2016","ESP","2. Segunda División","2nd","Leganés",27,37.2,9,0,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3624ce4c","2016-2017","ESP","1. La Liga","17th","Leganés",28,20.1,6,0,0,42,15,0,63,52,43,0,1,0,NULL,NULL,NULL,NULL
"3624ce4c","2017-2018","ESP","2. Segunda División","10th","Granada",29,37.9,6,1,0,44,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3624ce4c","2018-2019","ESP","2. Segunda División","2nd","Granada",30,37.5,6,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3624ce4c","2019-2020","ESP","1. La Liga","7th","Granada",31,32,4,0,0,28,13,1,68,27,45,0,0,0,304,54,45,54.5
"3624ce4c","2020-2021","ESP","1. La Liga","9th","Granada",32,9.2,3,0,0,13,1,0,22,16,16,0,1,0,91,16,14,53.3
"3624ce4c","2021-2022","ESP","1. La Liga","12th","Granada",33,6.9,1,0,0,6,4,0,5,13,6,0,0,0,50,12,15,44.4
"3631ad41","2017-2018","ENG","Jr. PL2 — Div. 1","5th","West Ham",16,0.3,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3631ad41","2018-2019","ENG","Jr. PL2 — Div. 1","11th","West Ham",17,7.6,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3631ad41","2019-2020","ENG","1. Premier League","16th","West Ham",18,4.9,0,0,0,4,1,1,9,2,12,0,0,0,38,8,11,42.1
"3631ad41","2020-2021","ENG","2. Championship","2nd","Watford",19,17.8,1,0,0,14,17,0,60,35,38,NULL,NULL,0,NULL,NULL,NULL,NULL
"3631ad41","2021-2022","ENG","1. Premier League","17th","Watford",20,5.5,0,0,0,11,3,0,8,19,11,0,0,0,50,15,13,53.6
"365113c0","2021-2022","ESP","1. La Liga","20th","Levante",18,1,0,0,0,1,1,0,1,2,0,0,0,0,5,2,1,66.7
"366be751","2020-2021","ITA","1. Serie A","4th","Juventus",19,0.2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0
"366be751","2021-2022","ITA","2. Serie B","3rd","Cremonese",20,11.9,2,0,0,12,26,2,16,12,13,NULL,NULL,0,NULL,NULL,NULL,NULL
"3672b352","2018-2019","ESP","2. Segunda División","1st","Osasuna",18,0.1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3672b352","2019-2020","ESP","1. La Liga","10th","Osasuna",19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"3672b352","2020-2021","ESP","1. La Liga","11th","Osasuna",20,5.1,1,0,0,6,8,0,3,4,9,0,0,0,47,6,5,54.5
"3672b352","2021-2022","ESP","1. La Liga","13th","Osasuna",21,3.8,1,0,0,6,5,0,11,8,7,0,0,0,31,4,8,33.3
"3681cfff","2015-2016","FRA","2. Ligue 2","19th","Créteil",22,33,3,0,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3681cfff","2016-2017","FRA","2. Ligue 2","3rd","Troyes",23,27.5,7,0,0,23,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3681cfff","2017-2018","FRA","1. Ligue 1","19th","Troyes",24,32.9,7,1,0,27,28,1,0,61,11,0,0,0,351,26,19,57.8
"3681cfff","2018-2019","FRA","1. Ligue 1","7th","Nice",25,32.6,9,1,0,36,48,0,5,45,36,0,1,0,311,73,34,68.2
"3681cfff","2019-2020","FRA","1. Ligue 1","5th","Nice",26,12.3,3,1,0,20,11,0,11,12,9,0,1,0,92,16,14,53.3
"3681cfff","2020-2021","FRA","1. Ligue 1","17th","Brest",27,15.3,4,0,0,19,17,1,2,16,10,0,0,1,138,43,20,68.3
"3681cfff","2021-2022","FRA","1. Ligue 1","12th","Brest",28,7.1,3,0,0,9,4,0,0,18,7,0,0,0,36,8,3,72.7
"36a3ff67","2008-2009","GER","2. 2. Bundesliga","10th","Rot Weiss Ahlen",19,22.9,4,0,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36a3ff67","2012-2013","GER","1. Bundesliga","2nd","Dortmund",23,26,4,0,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36a3ff67","2013-2014","GER","1. Bundesliga","2nd","Dortmund",24,24.5,6,0,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36a3ff67","2014-2015","GER","1. Bundesliga","7th","Dortmund",25,17.4,1,0,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36a3ff67","2015-2016","GER","1. Bundesliga","2nd","Dortmund",26,21.2,2,0,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36a3ff67","2016-2017","GER","1. Bundesliga","3rd","Dortmund",27,13.1,2,2,1,21,28,15,30,12,14,1,0,0,NULL,NULL,NULL,NULL
"36a3ff67","2017-2018","GER","1. Bundesliga","4th","Dortmund",28,10.3,1,0,0,15,21,5,11,5,13,0,0,0,74,3,20,13
"36a3ff67","2018-2019","GER","1. Bundesliga","2nd","Dortmund",29,25.7,3,1,0,37,37,15,40,12,29,1,1,0,136,11,16,40.7
"36a3ff67","2019-2020","GER","1. Bundesliga","2nd","Dortmund",30,16.6,1,0,0,19,19,7,27,13,22,0,0,0,70,5,31,13.9
"36a3ff67","2020-2021","GER","1. Bundesliga","3rd","Dortmund",31,25.3,1,0,0,31,39,10,56,10,30,3,0,0,150,14,29,32.6
"36a3ff67","2021-2022","GER","1. Bundesliga","2nd","Dortmund",32,15.3,2,0,0,14,28,6,16,12,15,2,0,0,103,7,16,30.4
"36a59ba4","2016-2017","GER","2. 2. Bundesliga","16th","1860 Munich",19,5.3,3,0,0,18,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"36a59ba4","2017-2018","GER","2. 2. Bundesliga","1st","Düsseldorf",20,23.3,5,0,0,30,53,1,4,30,41,1,0,0,NULL,NULL,NULL,NULL
"36c2ca73","2007-2008","ENG","5. Conf Premier","2nd","Cambridge Utd",17,1,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2007-2008","ENG","5. Conf Premier","17th","Woking",17,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2008-2009","ENG","4. League Two","15th","Aldershot Town",18,3.5,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2009-2010","ENG","3. League One","15th","Yeovil Town",19,43.2,0,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2010-2011","ENG","3. League One","11th","Brentford",20,3,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2010-2011","ENG","2. Championship","5th","Reading",20,12.1,1,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2011-2012","ENG","2. Championship","15th","Ipswich Town",21,9.8,0,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2011-2012","ENG","2. Championship","14th","Leeds United",21,6,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2012-2013","ENG","1. Premier League","19th","Reading",22,13,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2013-2014","ENG","2. Championship","7th","Reading",23,44,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2014-2015","ENG","1. Premier League","20th","QPR",24,2.6,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2015-2016","ENG","1. Premier League","15th","Crystal Palace",25,7,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36c2ca73","2016-2017","ENG","Jr. PL2 — Div. 1","12th","Southampton",26,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"36c2ca73","2017-2018","ENG","1. Premier League","17th","Southampton",27,18,2,0,0,0,2,0,0,0,0,0,0,0,72,0,0,NULL
"36c2ca73","2018-2019","ENG","1. Premier League","16th","Southampton",28,25,1,0,0,0,3,0,0,0,0,0,0,0,123,0,0,NULL
"36c2ca73","2019-2020","ENG","1. Premier League","11th","Southampton",29,28,0,0,0,1,3,0,0,0,0,0,0,0,117,0,0,NULL
"36c2ca73","2020-2021","ENG","1. Premier League","15th","Southampton",30,30,2,0,0,0,2,0,0,0,0,0,0,0,130,0,0,NULL
"36c2ca73","2021-2022","ENG","1. Premier League","13th","Southampton",31,15,1,0,0,0,1,0,0,0,0,0,0,0,52,0,0,NULL
"36cf2caf","2021-2022","GER","1. Bundesliga","16th","Stuttgart",22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
"36e88fbc","2018-2019","ENG","Jr. PL2 — Div. 1","9th","Tottenham",16,2,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"36e88fbc","2019-2020","ENG","Jr. PL2 — Div. 1","10th","Tottenham",17,8,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"36e88fbc","2020","USA","1. MLS","18th","Montreal Impact",18,19.6,7,1,0,28,17,1,1,19,13,0,0,0,173,48,23,67.6
"36e88fbc","2021-2022","ITA","1. Serie A","10th","Bologna",19,1.8,0,0,0,1,5,0,0,4,0,0,0,0,15,2,3,40
"3708e9fa","2014-2015","RUS","1. Premier League","2nd","CSKA Moscow",18,1.4,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3708e9fa","2015-2016","RUS","1. Premier League","1st","CSKA Moscow",19,7,0,0,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3708e9fa","2016-2017","RUS","1. Premier League","2nd","CSKA Moscow",20,28,3,0,0,69,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3708e9fa","2017-2018","RUS","1. Premier League","2nd","CSKA Moscow",21,25.3,8,0,0,45,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3708e9fa","2018-2019","FRA","1. Ligue 1","17th","Monaco",22,25.4,7,1,0,52,48,1,54,15,26,0,0,0,223,9,21,30
"3708e9fa","2019-2020","FRA","1. Ligue 1","9th","Monaco",23,22.9,6,1,1,36,39,2,40,28,35,0,0,0,200,9,9,50
"3708e9fa","2020-2021","FRA","1. Ligue 1","3rd","Monaco",24,11.9,2,0,0,19,14,3,36,17,16,0,0,0,88,11,17,39.3
"3708e9fa","2021-2022","FRA","1. Ligue 1","6th","Monaco",25,7.7,1,1,0,12,10,2,26,8,7,0,0,0,59,4,9,30.8
"3727dd3c","2007-2008","ENG","2. Championship","11th","Charlton Ath",15,1.9,0,0,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2008-2009","ENG","2. Championship","24th","Charlton Ath",16,12.4,3,0,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2009-2010","ENG","3. League One","4th","Charlton Ath",17,18.6,3,0,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2010-2011","ENG","1. Premier League","6th","Liverpool",18,3.8,1,0,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2011-2012","ENG","2. Championship","5th","Blackpool",19,9.4,1,0,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2011-2012","ENG","1. Premier League","8th","Liverpool",19,8.1,2,0,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2012-2013","ENG","1. Premier League","7th","Liverpool",20,10.3,3,1,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2013-2014","ENG","1. Premier League","12th","Swansea City",21,27.4,4,0,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2014-2015","ENG","1. Premier League","8th","Swansea City",22,27.2,9,1,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2015-2016","ENG","1. Premier League","18th","Newcastle Utd",23,11.7,3,0,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2015-2016","ENG","1. Premier League","12th","Swansea City",23,13.5,5,0,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3727dd3c","2016-2017","ENG","2. Championship","1st","Newcastle Utd",24,37.4,10,1,0,41,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3727dd3c","2017-2018","ENG","1. Premier League","10th","Newcastle Utd",25,25.2,3,3,1,24,11,0,33,44,24,0,0,0,297,20,16,55.6
"3727dd3c","2018-2019","ENG","1. Premier League","13th","Newcastle Utd",26,10.5,1,0,0,18,8,0,13,10,8,0,0,0,151,15,7,68.2
"3727dd3c","2019-2020","ENG","1. Premier League","13th","Newcastle Utd",27,23.5,3,0,0,24,8,1,25,10,16,0,0,0,238,18,11,62.1
"3727dd3c","2020-2021","ENG","1. Premier League","12th","Newcastle Utd",28,29.1,7,0,0,40,11,0,37,43,25,0,0,0,244,34,26,56.7
"3727dd3c","2021-2022","ENG","Jr. PL2 — Div. 2","7th","Newcastle Utd",29,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"3745e8bd","2011-2012","GER","1. Bundesliga","8th","Wolfsburg",20,3.9,1,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3745e8bd","2012-2013","GER","1. Bundesliga","10th","Nürnberg",21,12.1,6,0,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3745e8bd","2013-2014","GER","1. Bundesliga","7th","Mainz 05",22,6.4,2,0,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3745e8bd","2014-2015","GER","2. 2. Bundesliga","7th","Union Berlin",23,28.7,7,0,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3745e8bd","2015-2016","ENG","2. Championship","12th","QPR",24,19.7,4,0,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3745e8bd","2016-2017","ENG","2. Championship","18th","QPR",25,12.6,2,0,0,38,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"3745e8bd","2016-2017","GER","2. 2. Bundesliga","4th","Union Berlin",25,14.5,1,1,0,44,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
