"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","passes_completed","passes","passes_pct","passes_total_distance","passes_progressive_distance","passes_completed_short","passes_short","passes_pct_short","passes_completed_medium","passes_medium","passes_pct_medium","passes_completed_long","passes_long","passes_pct_long","assists","xa","xa_net","assisted_shots","passes_into_final_third","passes_into_penalty_area","crosses_into_penalty_area","progressive_passes"
"01efac19","2019-2020","ITA","1. Serie A","13th","Udinese",24,2.2,76,104,73.1,1160,334,45,54,83.3,23,27,85.2,7,15,46.7,0,0.2,-0.2,4,6,3,0,12
"01efac19","2020-2021","ITA","1. Serie A","10th","Hellas Verona",25,30.7,1027,1313,78.2,17705,4289,504,606,83.2,400,486,82.3,104,155,67.1,3,2.8,0.2,24,114,29,4,136
"01efac19","2021-2022","ITA","1. Serie A","13th","Hellas Verona",26,14.6,523,646,81,7973,2139,291,332,87.7,182,221,82.4,28,45,62.2,3,1.6,1.4,17,40,13,1,59
"02319ad7","2014-2015","ESP","2. Segunda División","3rd","Girona",25,28.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02319ad7","2015-2016","ESP","2. Segunda División","4th","Girona",26,27.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02319ad7","2016-2017","ESP","2. Segunda División","7th","Valladolid",27,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02319ad7","2017-2018","ESP","2. Segunda División","5th","Valladolid",28,37.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02319ad7","2018-2019","ESP","1. La Liga","5th","Getafe",29,27,424,691,61.4,6811,1580,225,331,68,145,219,66.2,37,77,48.1,6,3,3,17,32,19,6,54
"02319ad7","2019-2020","ESP","1. La Liga","8th","Getafe",30,30.5,508,790,64.3,7528,1796,305,415,73.5,124,203,61.1,48,85,56.5,3,2.5,0.5,30,37,21,13,52
"02319ad7","2020-2021","ESP","1. La Liga","15th","Getafe",31,22.6,395,596,66.3,5332,1099,250,332,75.3,99,149,66.4,24,53,45.3,0,1.2,-1.2,14,19,11,3,31
"02319ad7","2021-2022","ESP","1. La Liga","16th","Getafe",32,5.9,100,150,66.7,1448,328,54,72,75,33,49,67.3,7,12,58.3,0,0.4,-0.4,5,7,3,0,12
"02b29014","2012-2013","FRA","1. Ligue 1","13th","Rennes",19,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02b29014","2013-2014","FRA","1. Ligue 1","12th","Rennes",20,13.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02b29014","2014-2015","FRA","1. Ligue 1","9th","Rennes",21,30.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02b29014","2015-2016","ESP","1. La Liga","16th","Granada",22,12.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02b29014","2015-2016","FRA","1. Ligue 1","8th","Rennes",22,10.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02b29014","2016-2017","ENG","1. Premier League","17th","Watford",23,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02b29014","2017-2018","ENG","1. Premier League","14th","Watford",24,36.9,1894,2260,83.8,35052,7922,785,904,86.8,872,975,89.4,213,299,71.2,3,2.6,0.4,39,158,32,2,166
"02b29014","2018-2019","ENG","1. Premier League","11th","Watford",25,34,1643,1967,83.5,28444,6865,759,870,87.2,661,764,86.5,185,248,74.6,6,3.7,2.3,36,131,34,3,155
"02b29014","2019-2020","ENG","1. Premier League","19th","Watford",26,35.1,1302,1658,78.5,21927,4818,633,757,83.6,503,612,82.2,121,176,68.8,2,2.6,-0.6,33,120,33,4,110
"02b29014","2020-2021","ENG","1. Premier League","10th","Everton",27,27.1,1146,1333,86,20026,4093,517,588,87.9,482,534,90.3,117,147,79.6,3,2.2,0.8,18,69,21,1,65
"02b29014","2021-2022","ENG","1. Premier League","15th","Everton",28,13,411,516,79.7,7261,1706,186,221,84.2,170,197,86.3,41,61,67.2,4,1.2,2.8,10,41,8,1,49
"02bcaf8e","2017-2018","ENG","Jr. PL2 — Div. 2","4th","Middlesbrough",17,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02bcaf8e","2018-2019","ENG","Jr. PL2 — Div. 2","8th","Middlesbrough",18,13.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02bcaf8e","2021-2022","FRA","1. Ligue 1","11th","Angers",21,1.2,21,36,58.3,304,97,12,16,75,7,12,58.3,2,5,40,1,0.5,0.5,4,1,1,1,1
"02c15616","2015-2016","ESP","1. La Liga","2nd","Real Madrid",20,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02c15616","2016-2017","ESP","1. La Liga","9th","Alavés",21,31.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"02c15616","2017-2018","ESP","1. La Liga","3rd","Real Madrid",22,6.1,392,428,91.6,7429,1485,152,162,93.8,184,197,93.4,51,59,86.4,0,0.2,-0.2,3,46,3,0,24
"02c15616","2018-2019","ESP","1. La Liga","3rd","Real Madrid",23,6,344,372,92.5,6978,1257,121,132,91.7,152,158,96.2,65,71,91.5,0,0.3,-0.3,4,16,0,0,10
"02c15616","2019-2020","ESP","1. La Liga","3rd","Atlético Madrid",24,15.2,395,507,77.9,6233,1632,203,241,84.2,143,171,83.6,31,50,62,3,3,0,15,27,10,2,34
